,Unnamed: 0,index,5985,5690,5240,5970,5970.1,5970.2,5600,5600.1,5600.2,5600.3,5600.4,5620,5856,5591,5884,5683,5260,5471,5800,5863,5874,5874.1,5390,5390.1,5390.2,5700,5700.1,5700.2,5700.3,5700.4,5700.5,5700.6,5700.7,5700.8,5500,5500.1,5932,5932.1,5462,5672,5220,5450,5450.1,5450.2,5450.3,5450.4,5882,5550,5642,5642.1,5642.2,5330,5250,5300,5300.1,5300.2,5900,5900.1,5900.2,5900.3,5900.4,5900.5,5320,5380,5631,5631.1,5492,5210,5883,5400,5400.1,5400.2,5400.3,5400.4,5370,5853,5560,5771,5750,5762,5935,5580,5466,5485,5610,5610.1,5610.2,5610.3,5772,5290,5463,5491,5960,5960.1,5960.2,5960.3,5960.4,5892,5200,5000,5464,5270,5881,5350,5592,5953,5854,5540,5230,5792,5871,5474,fyn
0,0,2019-07,,6212.121212121212,13200.282447972357,7272.727272727272,7272.727272727272,7272.727272727272,16485.21052226658,16485.21052226658,16485.21052226658,16485.21052226658,16485.21052226658,6125.141381953522,18588.36206896552,9744.525547445255,,9533.051117307446,16214.23229347701,10154.11234508289,18809.775341926645,,5454.545454545455,5454.545454545455,18421.052631578947,18421.052631578947,18421.052631578947,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,13814.341463785226,17001.134703020616,17001.134703020616,12966.434756495111,12966.434756495111,13961.03896103896,12666.146555709664,17621.12418045624,,,,,,7819.047619047619,9524.003951477716,,,,10967.532467532466,17350.661027181748,17198.68250124411,17198.68250124411,17198.68250124411,9841.572195869818,9841.572195869818,9841.572195869818,9841.572195869818,9841.572195869818,9841.572195869818,9991.734011651495,14400.0,14923.7012987013,14923.7012987013,8801.282051282053,15215.332988261887,59050.0,9700.870421025802,9700.870421025802,9700.870421025802,9700.870421025802,9700.870421025802,10059.52380952381,10808.016946925907,5427.90757712663,5916.030534351145,6925.224742848293,11118.74143673059,,9665.354107425192,9422.605587385287,5957.446808510638,11015.44920602623,11015.44920602623,11015.44920602623,11015.44920602623,,14474.647987484,,8254.716981132075,8801.753881541115,8801.753881541115,8801.753881541115,8801.753881541115,8801.753881541115,,17472.943722943724,24510.50828844721,4881.823245191948,13732.45154822422,11270.100301863891,7809.0044742729315,10011.552944932762,4547.876304023845,,9224.682953012838,21423.062110020102,12366.957721131266,11010.514018691589,8128.834355828221,15317.67037779655
1,1,2019-08,,8972.602739726028,12979.020979020976,5708.812260536398,5708.812260536398,5708.812260536398,15307.467041325455,15307.467041325455,15307.467041325455,15307.467041325455,15307.467041325455,6429.273919443329,7714.396496670011,2992.4812030075186,,10951.719576719575,16290.104323552325,6944.444444444444,12295.001459196405,9523.809523809525,10337.985342273509,10337.985342273509,11447.434292866084,11447.434292866084,11447.434292866084,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,13911.200240643837,14511.37756916169,14511.37756916169,15424.452481414506,15424.452481414506,14763.779527559054,6121.730830198871,16871.718036520335,,,,,,,11950.0,,,,8661.749148646004,16218.27237585912,17242.561859074514,17242.561859074514,17242.561859074514,15765.545135239532,15765.545135239532,15765.545135239532,15765.545135239532,15765.545135239532,15765.545135239532,15928.270042194094,,,,8845.794490936112,16720.723152913473,7987.426084645538,12896.072932356486,12896.072932356486,12896.072932356486,12896.072932356486,12896.072932356486,,,10263.485846537298,5844.1558441558445,7196.206147041854,10443.020675905977,,15647.065641115863,7878.787878787879,,9748.188193652391,9748.188193652391,9748.188193652391,9748.188193652391,7463.818860877684,9000.0,,,6653.959585233157,6653.959585233157,6653.959585233157,6653.959585233157,6653.959585233157,,15964.826029503283,23963.385996609904,11042.944785276071,15218.339736595595,22479.876170268875,,,3561.594202898551,4032.258064516129,9077.193216916132,25958.301246629457,7797.87980517841,15061.188811188813,,15201.900472238252
2,2,2019-09,2302.6315789473683,7271.069680180577,15399.807549729465,8621.634847070862,8621.634847070862,8621.634847070862,11607.95316926319,11607.95316926319,11607.95316926319,11607.95316926319,11607.95316926319,7670.396270396271,9191.176470588236,,,10663.934426229507,17094.388538477582,7603.354954798079,9883.24118005045,9150.752111189302,15273.17415730337,15273.17415730337,22779.032258064515,22779.032258064515,22779.032258064515,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,14452.558875710638,15277.324499176852,15277.324499176852,10139.057368397243,10139.057368397243,4310.948717948718,5634.826526130873,16238.354011565838,,,,,,4237.28813559322,13942.741935483871,15162.337662337664,15162.337662337664,15162.337662337664,11640.445577619646,18864.06320647156,15518.62512262203,15518.62512262203,15518.62512262203,7820.851580015084,7820.851580015084,7820.851580015084,7820.851580015084,7820.851580015084,7820.851580015084,13373.61505412976,11990.74074074074,9225.868586300916,9225.868586300916,8570.359116572958,16916.31880344192,,10986.6825814142,10986.6825814142,10986.6825814142,10986.6825814142,10986.6825814142,12612.612612612613,937.5,8158.018178316004,4832.22429906542,7942.083530753591,19164.44924280428,5576.923076923077,7901.234567901234,,3663.0434782608695,7463.205088761426,7463.205088761426,7463.205088761426,7463.205088761426,,6668.12865497076,,11359.121995373627,7695.5061447884655,7695.5061447884655,7695.5061447884655,7695.5061447884655,7695.5061447884655,,13477.985062025544,23092.511431017767,18289.06061337841,14044.682371507248,15226.149056949278,8269.23076923077,10273.752483346969,7925.52308347604,,8168.185584092792,21810.089774309818,10580.151247269412,7447.071150557602,4838.709677419355,13785.943813922118
3,3,2019-10,400.0,11630.131371015668,14421.082949308757,4592.450067776507,4592.450067776507,4592.450067776507,10699.93303585193,10699.93303585193,10699.93303585193,10699.93303585193,10699.93303585193,8170.319630858328,9191.595441595442,6248.630521048999,,4521.438418025384,16895.635195750914,7765.9370199692785,16836.6665761581,5000.0,,,20394.142654436164,20394.142654436164,20394.142654436164,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,14766.46901966288,15428.838684482813,15428.838684482813,7892.904058324048,7892.904058324048,15600.729136692997,7962.902904863858,16675.30074168535,,,,,,,9068.567544188609,14281.69014084507,14281.69014084507,14281.69014084507,12608.288541461332,15492.383166334675,15761.005439315037,15761.005439315037,15761.005439315037,9533.071882810918,9533.071882810918,9533.071882810918,9533.071882810918,9533.071882810918,9533.071882810918,11489.980364980363,,15475.108225108226,15475.108225108226,,15899.16670885492,,10879.616379144314,10879.616379144314,10879.616379144314,10879.616379144314,10879.616379144314,,6793.717953025882,9459.954599232984,6727.126317398479,9102.03965024918,8197.786131996658,3719.00826446281,9330.985915492958,12631.664078674949,,3701.148303993821,3701.148303993821,3701.148303993821,3701.148303993821,5223.994485404303,,,,4000.0,4000.0,4000.0,4000.0,4000.0,,16290.726342515563,20938.42016613963,18086.03525187684,13534.624377791211,9442.24014022787,,6811.283508511391,9073.061237729204,6328.488941084361,8411.966016831788,21928.73299183689,13506.049543267309,9282.220463907326,6178.861788617886,13396.37481690481
4,4,2019-11,3459.119496855346,8957.727561332724,13938.584580610845,9893.410852713178,9893.410852713178,9893.410852713178,9272.601607150613,9272.601607150613,9272.601607150613,9272.601607150613,9272.601607150613,9460.353650504128,5060.240963855422,6873.104636591479,6436.567164179104,13840.178183398522,15592.187706704071,11459.35956424147,17821.69524282385,9180.30612244898,10939.597315436242,10939.597315436242,50416.66666666666,50416.66666666666,50416.66666666666,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,13960.30059053324,17141.84555069387,17141.84555069387,11120.384018148512,11120.384018148512,8089.430894308943,7460.778745424714,16861.061014657884,,,,,,,8821.989528795812,,,,10055.871038651769,17124.069683344722,16851.828733914932,16851.828733914932,16851.828733914932,9461.421694113227,9461.421694113227,9461.421694113227,9461.421694113227,9461.421694113227,9461.421694113227,12646.825396825398,6470.588235294118,10766.435209027131,10766.435209027131,7492.941960499212,15478.16323542874,,13155.517187717998,13155.517187717998,13155.517187717998,13155.517187717998,13155.517187717998,8574.87922705314,11333.333333333334,8597.552058496265,4225.352112676056,7695.677004265162,14247.295673076922,10657.963310402334,15672.61730562872,16637.417095163575,,11841.54610539938,11841.54610539938,11841.54610539938,11841.54610539938,7479.516956397834,9195.804195804196,9266.545233758348,6198.646125116713,7370.168116115076,7370.168116115076,7370.168116115076,7370.168116115076,7370.168116115076,,16091.33502723038,21387.20558437213,,14917.773230962604,,,9325.396825396823,8114.694091204695,6643.518518518518,8535.612932491205,24081.74659996209,10816.0518032467,8326.530612244898,5542.028535980149,14267.882924262527
5,5,2019-12,2000.0,4774.858457183298,13179.104005239058,,,,10244.567805470972,10244.567805470972,10244.567805470972,10244.567805470972,10244.567805470972,4301.948051948052,10040.650406504064,7086.007130124777,,7723.887786768111,16962.433466848903,8613.357665978318,17182.383975516324,,,,25078.616261538453,25078.616261538453,25078.616261538453,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,12800.421311629245,17103.40857189117,17103.40857189117,9319.453368094904,9319.453368094904,,9510.30891094126,15401.311388852637,,,,,,,9966.288044874507,,,,13901.360544217689,17499.319892929016,21434.10079849809,21434.10079849809,21434.10079849809,9283.52619017176,9283.52619017176,9283.52619017176,9283.52619017176,9283.52619017176,9283.52619017176,10482.32366083106,4608.695652173913,4744.525547445255,4744.525547445255,12099.246510446616,16953.78874142956,,11785.12968245598,11785.12968245598,11785.12968245598,11785.12968245598,11785.12968245598,3369.8224852071007,7841.4548022598865,6533.749722070625,6849.315068493151,6044.864226682408,9113.14689617696,4731.34092346616,9423.188192605669,8022.388059701492,4800.0,6778.311317705901,6778.311317705901,6778.311317705901,6778.311317705901,,8333.333333333334,5447.154471544715,,5752.373417721519,5752.373417721519,5752.373417721519,5752.373417721519,5752.373417721519,,13947.804357592093,23074.742095034948,10178.459119496856,14386.194873963084,,,4692.451612903225,11852.237614584406,12836.734693877552,5209.366387681593,20670.03481623888,10560.820980098826,,,14279.296581050121
6,6,2020-01,3676.470588235294,13663.023843930636,16246.684607182284,9351.503759398496,9351.503759398496,9351.503759398496,10202.176797105349,10202.176797105349,10202.176797105349,10202.176797105349,10202.176797105349,7822.085889570552,6363.246612012716,,4637.68115942029,4419.246356385117,15216.30476333946,10746.274834437088,12795.980815036664,5897.4358974358975,,,22281.55339805825,22281.55339805825,22281.55339805825,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,13914.008498320158,15180.164512021987,15180.164512021987,4567.307692307692,4567.307692307692,13736.306729264476,7415.290109347113,16602.705578214925,,,,,,,17603.764152049825,,,,11271.36752136752,19287.24881387909,15537.37784799498,15537.37784799498,15537.37784799498,10074.075656476549,10074.075656476549,10074.075656476549,10074.075656476549,10074.075656476549,10074.075656476549,13211.920529801324,,10135.135135135137,10135.135135135137,9302.32558139535,14211.246399129828,5882.35294117647,8226.58928211333,8226.58928211333,8226.58928211333,8226.58928211333,8226.58928211333,,6466.94487738225,7630.518852723171,6818.181818181818,7513.402555730258,6321.83908045977,,8945.011337868482,,,5088.495575221239,5088.495575221239,5088.495575221239,5088.495575221239,,,6670.80745341615,,7240.057921876104,7240.057921876104,7240.057921876104,7240.057921876104,7240.057921876104,,18176.80322682696,21784.280157239376,13351.351351351352,16509.154515194474,9232.323232323231,,7747.829868395583,7323.229963397529,,11048.387096774191,23917.510210990604,12391.891362399045,6044.914953933381,6647.4358974358975,13999.22450672664
7,7,2020-02,4772.727272727273,9957.848606983636,12005.696004993755,5033.451591767327,5033.451591767327,5033.451591767327,10258.503083704463,10258.503083704463,10258.503083704463,10258.503083704463,10258.503083704463,0.0125,,,,8402.909520615758,17673.710747688816,16216.642458418772,15695.764115999104,,10923.822625015428,10923.822625015428,,,,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,18238.871686613205,14166.314492654144,14166.314492654144,5917.15976331361,5917.15976331361,,8475.855629733132,20552.40451627528,,,,,,,10482.456140350878,13545.454545454546,13545.454545454546,13545.454545454546,,18112.27614661024,11239.318717740103,11239.318717740103,11239.318717740103,10357.142857142857,10357.142857142857,10357.142857142857,10357.142857142857,10357.142857142857,10357.142857142857,13672.672519395672,4600.0,19277.10843373494,19277.10843373494,,16348.144198423155,6914.893617021276,9775.29383670846,9775.29383670846,9775.29383670846,9775.29383670846,9775.29383670846,,8018.0745488139555,11143.44262295082,,11107.874633944768,8532.186459489456,,8838.38383838384,12763.554232445082,,12699.013068013068,12699.013068013068,12699.013068013068,12699.013068013068,,,,,6018.436277464572,6018.436277464572,6018.436277464572,6018.436277464572,6018.436277464572,5800.0,19933.33333333333,21853.86872115124,13888.888888888889,15213.465922974428,14784.53038674033,,7185.937206241775,8146.600277121525,4822.5901833234775,9887.639710716632,26103.71697404282,9769.398386848052,12895.013262391312,4124.579124579124,14885.58481951738
8,8,2020-03,,10517.914121197253,14253.142718429768,,,,11038.272878919575,11038.272878919575,11038.272878919575,11038.272878919575,11038.272878919575,8352.887020396705,,,,10184.367151928456,16599.921918540433,,10906.070731884249,,17000.0,17000.0,63333.333333333336,63333.333333333336,63333.333333333336,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,17001.97241686041,18420.9291368882,18420.9291368882,8770.840156583852,8770.840156583852,15172.035298209008,5926.35778274206,16784.24975087296,11465.516179440108,11465.516179440108,11465.516179440108,11465.516179440108,11465.516179440108,,10778.801858405608,,,,10714.285714285714,17963.636081579,16105.372823625825,16105.372823625825,16105.372823625825,9406.876056360592,9406.876056360592,9406.876056360592,9406.876056360592,9406.876056360592,9406.876056360592,14336.160108548169,,11247.01907790143,11247.01907790143,12404.580152671757,17623.949309057163,,9795.116545116543,9795.116545116543,9795.116545116543,9795.116545116543,9795.116545116543,13590.90909090909,6713.238752971247,8804.580213911142,7331.433998100665,8621.241160390815,9716.85516311788,,11682.242990654206,1984.7328244274809,,6973.829380684253,6973.829380684253,6973.829380684253,6973.829380684253,4909.778681120144,,,,5966.072579933504,5966.072579933504,5966.072579933504,5966.072579933504,5966.072579933504,9011.627906976744,17257.488479262673,22678.405881937008,7320.044454576542,15798.700556851309,9235.668789808917,,7558.139534883721,7621.039033685567,,6920.013817326316,21892.715029147726,9236.25532450723,,,14373.518583366309
9,9,2020-04,,9824.538284660695,12828.467153284671,,,,12005.874235469708,12005.874235469708,12005.874235469708,12005.874235469708,12005.874235469708,8387.42030231392,7406.134259259259,5054.347826086957,6132.8125,6720.993164874885,17976.069423989127,8166.122524475566,12785.392552170311,,32926.829268292684,32926.829268292684,,,,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,14845.782380121404,19697.45465509607,19697.45465509607,16830.374128091313,16830.374128091313,,,16176.577808156757,11636.077288093358,11636.077288093358,11636.077288093358,11636.077288093358,11636.077288093358,,8712.489648686962,4206.349206349207,4206.349206349207,4206.349206349207,9998.21217648289,15377.257864022413,17264.21612557631,17264.21612557631,17264.21612557631,6156.730123180291,6156.730123180291,6156.730123180291,6156.730123180291,6156.730123180291,6156.730123180291,11937.25204053454,,18704.1691306919,18704.1691306919,9430.56778169014,15201.04928968412,,12754.798689138575,12754.798689138575,12754.798689138575,12754.798689138575,12754.798689138575,7884.615384615385,5000.0,9269.00831087152,5376.344086021505,9779.589290558884,4865.335823841411,3688.524590163935,9046.455013695531,,5209.302325581395,13946.044024456009,13946.044024456009,13946.044024456009,13946.044024456009,5843.307086614173,,4611.650485436893,6818.181818181818,9946.408529741864,9946.408529741864,9946.408529741864,9946.408529741864,9946.408529741864,9782.608695652174,17048.602839946623,23135.162015165137,5267.353785330064,15663.30312022594,13632.208387942334,,4998.25479930192,7510.813781096992,,11442.649342961418,25206.140977376766,10055.325977428694,18500.0,,14182.929191650142
10,10,2020-05,3480.392156862745,11318.25396825397,13131.31313131313,17684.21052631579,17684.21052631579,17684.21052631579,9874.590096676371,9874.590096676371,9874.590096676371,9874.590096676371,9874.590096676371,6998.939170955225,,11464.968152866242,7810.21897810219,5779.7270955165695,14659.281177530976,10106.382978723404,18141.331061528614,6690.140845070423,15879.731379731378,15879.731379731378,18820.49948445613,18820.49948445613,18820.49948445613,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,14842.510248062265,17500.63320976511,17500.63320976511,10956.077872744538,10956.077872744538,,8082.262330924457,18038.020767380018,15576.766400964889,15576.766400964889,15576.766400964889,15576.766400964889,15576.766400964889,7551.724137931034,8043.631350240334,13445.945945945949,13445.945945945949,13445.945945945949,11463.564213564212,18864.599279445185,16197.449833911824,16197.449833911824,16197.449833911824,10181.87127024723,10181.87127024723,10181.87127024723,10181.87127024723,10181.87127024723,10181.87127024723,9388.888888888889,,16191.037735849057,16191.037735849057,9344.477305014294,15143.483012343228,3663.366336633663,13692.453654125318,13692.453654125318,13692.453654125318,13692.453654125318,13692.453654125318,,9731.543624161071,4819.875776397515,7824.074074074074,6816.880813159531,9959.549011566338,14957.264957264955,14574.81021394065,,10878.787878787878,4868.936795688388,4868.936795688388,4868.936795688388,4868.936795688388,2967.032967032967,9006.211180124224,6338.028169014085,12710.843373493975,7060.922522257725,7060.922522257725,7060.922522257725,7060.922522257725,7060.922522257725,,18600.98474499089,21950.392195094035,10091.07170031853,15147.13085849331,,6299.212598425197,9961.53846153846,10183.89484308602,,7316.919191919192,25406.79591049731,10122.866408020009,15295.957451482513,7382.550335570469,14748.489427390497
11,11,2020-06,2229.7297297297296,11664.162428725536,11977.085663844671,7055.21472392638,7055.21472392638,7055.21472392638,13145.472718415973,13145.472718415973,13145.472718415973,13145.472718415973,13145.472718415973,8731.279735404223,4411.764705882353,5926.114220332163,10670.731707317073,13742.780367780368,14791.842778862012,,16977.57682266238,,11663.586781732418,11663.586781732418,30284.44087423688,30284.44087423688,30284.44087423688,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16458.049270409167,16288.676991497725,16288.676991497725,12202.20321687013,12202.20321687013,,6469.303066621252,16679.928679479697,,,,,,11887.417218543049,17132.97819127651,7226.907630522089,7226.907630522089,7226.907630522089,12518.029465574107,17469.33672310599,14425.773666922983,14425.773666922983,14425.773666922983,7775.733623580597,7775.733623580597,7775.733623580597,7775.733623580597,7775.733623580597,7775.733623580597,10576.092338467131,,11629.280459591757,11629.280459591757,6727.990591397849,16882.427022028933,5617.477278309998,,,,,,3847.42206235012,4225.681886678722,13174.603174603177,4732.993197278912,10802.920968141145,8887.857872677609,8170.862607338017,11835.703789710606,12647.058823529413,,11920.231768699328,11920.231768699328,11920.231768699328,11920.231768699328,8189.284106713022,9055.11811023622,6093.75,9434.52380952381,7085.955927384726,7085.955927384726,7085.955927384726,7085.955927384726,7085.955927384726,6034.948741845294,16129.032258064515,22578.890498125416,18483.859773349603,14752.234913534274,8434.782608695652,,10774.310048547251,14007.247239567514,,8648.688541166619,24365.69295955474,9467.792904086671,8195.876288659794,,14832.420477172274
12,12,2020-07,4545.454545454545,7976.950900415577,15828.922596351982,11761.94527056596,11761.94527056596,11761.94527056596,11748.007359362437,11748.007359362437,11748.007359362437,11748.007359362437,11748.007359362437,5167.257803023892,10775.042393410851,333.3333333333333,6664.885770864032,4643.86555904413,17610.053999963555,,13168.610311147864,,13331.984277296777,13331.984277296777,28931.75856966813,28931.75856966813,28931.75856966813,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16322.547345427514,16629.788523728323,16629.788523728323,16858.96164021164,16858.96164021164,,8373.397435897436,18594.768680843743,,,,,,3642.384105960265,9898.02037774174,10976.671553417877,10976.671553417877,10976.671553417877,10441.801420415435,21083.80706067103,14232.362100028642,14232.362100028642,14232.362100028642,9063.48193332195,9063.48193332195,9063.48193332195,9063.48193332195,9063.48193332195,9063.48193332195,11121.699819168172,,6504.065040650406,6504.065040650406,12798.27715757836,16517.24700025889,11666.666666666666,,,,,,18125.0,9579.43925233645,7737.565990552931,9124.316149068323,9216.780051048629,12443.533679598746,5543.478260869565,16204.105633385165,16957.944380586658,,12453.959484346226,12453.959484346226,12453.959484346226,12453.959484346226,8485.659267043744,5650.684931506849,9567.028131384566,,5107.081667618504,5107.081667618504,5107.081667618504,5107.081667618504,5107.081667618504,10350.60975609756,15126.73673363666,22134.99552973464,10752.046905740255,15630.439278854525,12874.408081658425,,6699.0194437977725,9171.93919288332,6429.998992177749,6785.714285714285,24005.65753061875,12462.416231667145,14042.903151598804,,15064.158343118837
13,13,2020-08,12831.311769991014,8606.978418762528,13306.98810112901,4640.830346475508,4640.830346475508,4640.830346475508,10660.867540141751,10660.867540141751,10660.867540141751,10660.867540141751,10660.867540141751,5121.172248803828,,8274.701149425287,8928.57142857143,10896.915584415585,15315.040802042497,9447.59734919533,14492.298140189989,5531.746031746032,7326.086956521739,7326.086956521739,21299.119228591524,21299.119228591524,21299.119228591524,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,16376.934479200268,17815.036332921474,17815.036332921474,10287.239104895283,10287.239104895283,19005.847953216373,5154.665947355334,18356.087265583184,19610.227215253464,19610.227215253464,19610.227215253464,19610.227215253464,19610.227215253464,,11285.709882470654,7944.08451026098,7944.08451026098,7944.08451026098,11721.071879802226,19030.825161740377,17571.503685126536,17571.503685126536,17571.503685126536,8244.085826247356,8244.085826247356,8244.085826247356,8244.085826247356,8244.085826247356,8244.085826247356,10021.956684092607,2865.853658536585,9171.676293421717,9171.676293421717,8293.124899258542,14555.7399772859,,15910.453708125046,15910.453708125046,15910.453708125046,15910.453708125046,15910.453708125046,13593.406593406597,9505.630748697364,6798.703350650906,9346.825987365226,7913.743059580314,10215.900770416025,4966.300619596479,9163.389192886456,10190.95515540742,,10443.071323885846,10443.071323885846,10443.071323885846,10443.071323885846,9421.827984189276,,5767.380952380951,14851.190476190475,6533.228847158918,6533.228847158918,6533.228847158918,6533.228847158918,6533.228847158918,4869.787982078161,15646.938404947145,22789.839591859145,11144.983953530436,14384.91675418132,26785.714285714286,,3571.428571428572,6436.873875879037,9319.983312473923,7044.042397660819,24999.14441228252,12664.171498450896,10670.490806444415,,14000.31815671269
